TL Name,TL Reference,Monitored Object Name,Monitored Object Reference,Monitored Object Last Sample,Object Name Similarity %,TL Polling Frequency,Monitored Object Unit
CS_02VV3208_DMP_VRTL_POS_TL,2169.421823.TL11,CS_02VV3208_DMP_VRTL_POS,421823.AV15.Present_Value,2020-04-13 10:09:25,89.0,90000,%
CS_02VV3208_OAT_AV_TL,2169.421823.TL12,CS_02VV3208_OAT_AV,421823.AV17.Present_Value,2020-04-13 10:09:18,86.0,0,°C
SYSTEME_ST_BV_TL,2169.421823.TL13,SYSTEME_ST_BV,421823.BV1.Present_Value,2020-04-13 10:09:18,81.0,0,Units not found
CS_02VVMD3208_TL,2169.421823.TL14,CS_02VVMD3208,421823.BI105.Present_Value,2020-04-13 10:09:23,81.0,0,Units not found
CS_02VVTSH3208_TL,2169.421823.TL16,CS_02VVTSH3208,421823.AI103.Present_Value,2020-04-13 10:09:00,82.0,90000,%RH
CS_RM3208_KeyPress,2169.421823.TL21,trend_log_input_ref not found,421823.LCD101.Key_Press,trend_log_input_ref not found,Monitored Object does not exist.,0,trend_log_input_ref not found
CS_02VVCDMOP3205_TL,2169.421824.TL1,CS_02VVCDMOP3205,421824.BO5.Present_Value,2020-04-13 10:10:12,84.0,0,Units not found
CS_02VVCDMCL3205_Y_TL,2169.421824.TL2,CS_02VVCDMCL3205,421824.BO6.Present_Value,2020-04-13 10:10:13,76.0,0,Units not found
CS_02VVFSA3205_TL,2169.421824.TL3,CS_02VVFSA3205,421824.AI5.Present_Value,2020-04-13 10:09:46,82.0,90000,Pa
CS_02VVTST3205_TL,2169.421824.TL4,CS_02VVTST3205,421824.AI101.Present_Value,2020-04-13 10:09:47,82.0,90000,°C
CS_02VVSOC3205_TL,2169.421824.TL5,CS_02VVSOC3205,421824.BI1.Present_Value,2020-04-13 10:10:08,82.0,0,Units not found
CS_02VV3205_RTS_SP_TL,2169.421824.TL6,CS_02VV3205_RTS_SP,421824.AV1.Present_Value,2020-04-13 10:10:11,86.0,0,°C
CS_02VV3205_FLOW_TL,2169.421824.TL7,CS_02VV3205_FLOW,421824.AV9.Present_Value,2020-04-13 10:10:14,84.0,90000,L/s
CS_02VV3205_DMP_VRTL_POS_TL,2169.421824.TL8,CS_02VV3205_DMP_VRTL_POS,421824.AV15.Present_Value,2020-04-13 10:10:11,89.0,90000,%
CS_02VVMD3205_TL,2169.421824.TL14,CS_02VVMD3205,421824.BI105.Present_Value,2020-04-13 10:10:09,81.0,0,Units not found
CS_02VVTSH3205_TL,2169.421824.TL16,CS_02VVTSH3205,421824.AI103.Present_Value,2020-04-13 10:09:49,82.0,90000,%RH
CS_RM3205_KeyPress,2169.421824.TL21,trend_log_input_ref not found,421824.LCD101.Key_Press,trend_log_input_ref not found,Monitored Object does not exist.,0,trend_log_input_ref not found
CS_02VVCDMOP3400_TL,2169.421825.TL1,CS_02VVCDMOP3400,421825.BO5.Present_Value,2020-04-13 10:11:15,84.0,0,Units not found
CS_02VVCDMCL3400_Y_TL,2169.421825.TL2,CS_02VVCDMCL3400,421825.BO6.Present_Value,2020-04-13 10:11:16,76.0,0,Units not found
CS_02VVFSA3400_TL,2169.421825.TL3,CS_02VVFSA3400,421825.AI5.Present_Value,2020-04-13 10:10:54,82.0,90000,Pa
CS_02VVTST3400_TL,2169.421825.TL4,CS_02VVTST3400,421825.AI101.Present_Value,2020-04-13 10:10:55,82.0,90000,°C
CS_02VVSOC3400_TL,2169.421825.TL5,CS_02VVSOC3400,421825.BI1.Present_Value,2020-04-13 10:11:18,82.0,0,Units not found
CS_02VV3400_RTS_SP_TL,2169.421825.TL6,CS_02VV3400_RTS_SP,421825.AV1.Present_Value,2020-04-13 10:10:58,86.0,0,°C
CS_02VV3400_FLOW_TL,2169.421825.TL7,CS_02VV3400_FLOW,421825.AV9.Present_Value,2020-04-13 10:10:57,84.0,90000,L/s
CS_02VV3400_DMP_VRTL_POS_TL,2169.421825.TL8,CS_02VV3400_DMP_VRTL_POS,421825.AV15.Present_Value,2020-04-13 10:11:17,89.0,90000,%
